article_id	class
820791520	satire
821040551	satire
813552066	satire
817176202	satire
820419869	reporting
833052347	satire
832918490	satire
813494037	satire
833053676	satire
815412286	reporting
832984694	reporting
830821478	satire
833018464	satire
817408115	satire
833036176	reporting
816460196	satire
813547724	reporting
828866387	satire
813603860	reporting
824658990	reporting
832947554	reporting
832920387	satire
813949697	satire
833050243	satire
833053628	satire
833028932	reporting
814251296	reporting
824256050	reporting
814427361	satire
832269185	reporting
832940138	satire
813953435	satire
833032366	reporting
833028680	reporting
815858385	satire
814435435	satire
833041409	reporting
814403783	reporting
833024133	satire
833024696	reporting
814403543	reporting
814404002	satire
833021113	reporting
832941978	reporting
813601978	satire
832971448	satire
817190270	satire
832931332	satire
832956618	reporting
833013834	reporting
818141325	satire
822942601	satire
832926076	satire
832947852	reporting
830359423	satire
813714967	satire
833028146	satire
832934428	satire
817449755	satire
830153674	satire
829267754	satire
833067493	satire
824684605	reporting
814630609	reporting
830359136	satire
813452859	satire
833040400	reporting
822295249	reporting
814371058	satire
824350729	satire
816720060	satire
813602345	satire
822220578	satire
832933796	satire
830274102	satire
813992175	satire
814403875	reporting
832947600	reporting
829815104	satire
817147979	satire
813623212	satire
832948083	reporting
813953273	satire
